Year,below_2_Emissions,ndc_Emissions,net_zero_Emissions
2024,80352800.0,80352800.0,80352800.0
2025,80114599.99999999,80114599.99999999,80114599.99999999
2026,79916100.0,79916100.0,79916100.0
2027,79677900.0,79677900.0,79677900.0
2028,79439700.0,79439700.0,79439700.0
2029,76877200.0,76877200.0,76877200.0
2030,70112800.0,70112800.0,70112800.0
2031,69521900.0,69521900.0,69521900.0
2032,69017200.0,69017200.0,69017200.0
2033,59636500.0,59636500.0,59636500.0
2034,59142700.0,59142700.0,52905100.0
2035,58700700.0,58700700.0,52463100.0
2036,52033200.0,58298400.0,52033200.0
2037,51643000.0,57908200.0,10877800.0
2038,51292500.0,57557700.0,10361700.0
2039,37562100.0,41802900.0,9885300.0
2040,9448600.0,41459200.0,9448600.0
2041,9011900.0,32312900.0,9011900.0
2042,8654600.0,32009600.0,8654600.0
2043,8257600.0,31680100.0,8257600.0
2044,7940000.0,31403000.0,7940000.0
2045,7622400.0,31125900.0,7622400.0
2046,7304800.0,30862300.0,7304800.0
2047,7026900.0,30624900.0,7026900.0
2048,6749000.000000001,27282500.0,6749000.000000001
2049,6510800.0,27084800.0,6510800.0
2050,6272600.0,26873600.0,6272600.0
